rank,station_id,name,country,country_code,state,lat,lon,elev_m,date,prcp_mm,year_file,mflag,sflag,obs_time
348,USC00515665,LUPI UPPER 442,United States,US,HI,20.8889,-156.2481,378.0,19900201,584.2,1990,,0,
349,ASN00032101,MUTARNEE STORE,Australia,AS,,-18.9558,146.2886,60.0,20250203,584.0,2025,,a,
350,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19220618,583.9,1922,,I,
351,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19820430,581.7,1982,,0,
352,USC00517194,PAAKEA 350,United States,US,HI,20.8136,-156.1186,382.5,19880104,581.7,1988,,0,
353,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19870430,581.7,1987,,0,
354,ASN00040525,KIAMBA,Australia,AS,,-26.5936,152.9036,154.0,19920222,581.2,1992,,a,
355,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19710314,581.0,1971,,I,
356,USC00513510,KAUMANA 88.1,United States,US,HI,19.68,-155.1433,359.7,20001102,580.4,2000,,0,0800
357,IN002030100,PASIGHAT AERO   OBSY SR,India,IN,,28.1,95.38,157.0,19760803,580.1,1976,,I,
358,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19950315,580.0,1995,,I,
359,ASN00032101,MUTARNEE STORE,Australia,AS,,-18.9558,146.2886,60.0,20250202,579.8,2025,,a,
360,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19890103,579.1,1989,,0,
361,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19510609,578.4,1951,,I,
362,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19650225,578.0,1965,,I,
363,IN014020701,MAWSYNRAM       OBSY,India,IN,,25.3,91.58,1401.0,19560604,577.9,1956,,I,
364,IN020133800,K. PARAMATHY,India,IN,,10.95,78.083,181.0,19770925,577.9,1977,,I,
365,USW00012836,KEY W INTL AP,United States,US,FL,24.5569,-81.7553,0.3,19801111,577.9,1980,,0,2400
366,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19020811,576.8,1902,,I,
367,USC00516552,MTN VIEW 91,United States,US,HI,19.5486,-155.11,466.3,19790220,576.8,1979,,0,0600
368,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19020811,576.8,1902,,I,
369,USC00514091,KEANAE 346,United States,US,HI,20.8294,-156.1681,298.7,19880331,576.6,1988,,0,
370,ASN00033027,GARGETT POST OFFICE,Australia,AS,,-21.1558,148.7433,74.0,19580218,576.6,1958,,a,
371,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19230616,576.6,1923,,I,
372,USC00519332,WAIKAMOI 449,United States,US,HI,20.8647,-156.1928,365.8,19890801,576.6,1989,,0,
373,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19390629,576.6,1939,,I,
374,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19350605,576.6,1935,,I,
375,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19350605,576.6,1935,,I,
376,NC000091577,KOUMAC (NLLE-CALEDO,New Caledonia [France],NC,,-20.567,164.283,18.0,19900307,576.0,1990,,I,
377,IN014020600,CHERRAPUNJI/P.S.,India,IN,,25.28,91.72,1380.0,19150710,575.8,1915,,I,
378,IN014020800,CHERRAPUNJI,India,IN,,25.25,91.733,1313.0,19150710,575.8,1915,,I,
379,ASN00033105,KULULU,Australia,AS,,-21.15,149.0,-999.9,19180123,575.6,1918,,a,
380,ASN00058167,UKI (TWEED RIVER),Australia,AS,,-28.4147,153.3339,30.0,20220228,575.0,2022,,a,
